file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,curve_weight,is_curve_outlier
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,41,0.08046686767676767,114.77007591540026,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,42,0.0823486803030303,115.3504100984442,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,43,0.08423049292929292,116.0236667405262,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,44,0.08611230555555555,116.69692338260819,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,45,0.08799411818181818,117.37018002469019,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,46,0.0898759308080808,118.0384766221042,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,47,0.09175774343434343,118.65554937637604,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,48,0.09363955606060606,119.27262213064789,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,49,0.09552136868686868,119.88969488491973,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,50,0.0974031813131313,120.50676763919158,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,51,0.09928499393939394,121.37290153736043,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,52,0.10116680656565656,122.37148728918764,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,53,0.10304861919191918,123.37007304101485,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,54,0.10493043181818182,124.36865879284207,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,55,0.10681224444444444,125.27214877095342,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,56,0.10869405707070706,125.72885583051745,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,57,0.1105758696969697,126.1855628900815,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,58,0.11245768232323232,126.64226994964552,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,59,0.11433949494949494,127.09897700920956,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,60,0.11622130757575758,127.8259614454948,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,61,0.1181031202020202,128.65821936899206,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,62,0.11998493282828282,129.49047729248932,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,63,0.12186674545454546,130.3227352159866,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,64,0.12374855808080808,131.06730638871505,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,65,0.1256303707070707,131.58499469487182,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,66,0.12751218333333333,132.10268300102857,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,67,0.12939399595959594,132.6203713071853,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,68,0.13127580858585858,133.13805961334208,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,69,0.1331576212121212,133.60326864112508,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,70,0.13503943383838382,134.05545231795793,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,71,0.13692124646464646,134.5076359947908,0.2043387374172631,False
green2-3.xls,green,sirloin steak,2,24,1.0,3,shear,shear,72,0.1388030590909091,134.95981967162365,0.2043387374172631,False
