color,cut,variant,train_variant,loading,split,time_days,time_label,mae_pa,rmse_pa,r2,n_points
green,Sirloin steak,weighted_all,weighted_all,shear,train,1.0,Day 1,168.40355619951828,183.06448586893268,-4.393270692190459,400
green,Sirloin steak,weighted_all,weighted_all,shear,train,2.0,Day 2,96.66102991633798,100.1998849927481,-8.891541692607143,300
green,Sirloin steak,weighted_all,weighted_all,unloading,train,0.0,Day 0,566.7578640538038,682.2537592022417,-3.0026240531257535,320
green,Sirloin steak,weighted_all,weighted_all,unloading,train,1.0,Day 1,333.51837578792026,416.7599061227067,-2.334998230092895,160
green,Sirloin steak,weighted_all,weighted_all,unloading,train,2.0,Day 2,273.75936572553354,355.83747968576716,-1.7690813745373037,240
red,New York strip steak,compression_only,compression_only,compression,test,0.0,Day 0,715.5320738216403,729.9626159392145,-9.183072552000874,80
red,New York strip steak,compression_only,compression_only,compression,test,1.0,Day 1,1017.3833372209249,1029.6736835414383,-24.75445824251843,80
red,New York strip steak,compression_only,compression_only,compression,test,2.0,Day 2,1653.8817633336141,1728.2564373812847,-9.415209217472968,80
red,New York strip steak,compression_only,compression_only,overall,test,-1.0,Overall,572.5878134288608,788.2375690466565,-0.0820638110490286,680
red,New York strip steak,compression_only,compression_only,shear,test,0.0,Day 0,65.6274650718662,68.07434252275907,-4.755992713962778,100
red,New York strip steak,compression_only,compression_only,shear,test,2.0,Day 2,242.53551761180842,251.84496634326788,-11.085077236125139,100
red,New York strip steak,compression_only,compression_only,unloading,test,0.0,Day 0,425.2258566457751,487.82953279325005,-5.1416132829741965,80
red,New York strip steak,compression_only,compression_only,unloading,test,1.0,Day 1,333.62555333651375,409.8962193985719,-2.6003906368416456,80
red,New York strip steak,compression_only,compression_only,unloading,test,2.0,Day 2,336.14410143225604,458.4711096285438,-1.076714442798627,80
red,New York strip steak,compression_only,compression_only,compression,train,0.0,Day 0,988.5252532779663,1046.6150611580208,-5.736989757053282,320
red,New York strip steak,compression_only,compression_only,compression,train,1.0,Day 1,1283.7171331759746,1370.294672921112,-6.224938343723892,240
red,New York strip steak,compression_only,compression_only,compression,train,2.0,Day 2,1440.1068074761606,1482.4492938370875,-13.756382406838712,160
red,New York strip steak,compression_only,compression_only,overall,train,-1.0,Overall,561.3638526715437,745.5984843728107,0.04656767127916661,2700
red,New York strip steak,compression_only,compression_only,shear,train,0.0,Day 0,258.93127559452097,282.40143822214463,-4.14899543858873,400
red,New York strip steak,compression_only,compression_only,shear,train,1.0,Day 1,351.8108698081232,367.68092428499773,-9.14001593743261,400
red,New York strip steak,compression_only,compression_only,shear,train,2.0,Day 2,266.7072734023618,282.213558941693,-7.421485756571915,300
red,New York strip steak,compression_only,compression_only,unloading,train,0.0,Day 0,447.27830247243014,544.0745963792637,-3.053361884549161,240
red,New York strip steak,compression_only,compression_only,unloading,train,1.0,Day 1,407.8410660526347,579.9620803417445,-1.016618663255517,320
red,New York strip steak,compression_only,compression_only,unloading,train,2.0,Day 2,308.3754565431458,431.6578243092027,-0.841195582282322,320
red,New York strip steak,shear_only,shear_only,compression,test,0.0,Day 0,830.098056449509,856.4666231431858,-13.018401236619047,80
red,New York strip steak,shear_only,shear_only,compression,test,1.0,Day 1,1078.277147779244,1095.5025422602482,-28.152779772699496,80
red,New York strip steak,shear_only,shear_only,compression,test,2.0,Day 2,1700.6723993008686,1780.8470246311492,-10.05871999575725,80
red,New York strip steak,shear_only,shear_only,overall,test,-1.0,Overall,567.7266311041793,809.5647164570229,-0.14141021666644038,680
red,New York strip steak,shear_only,shear_only,shear,test,0.0,Day 0,92.27364637587398,95.66777683781167,-10.368016311381075,100
red,New York strip steak,shear_only,shear_only,shear,test,2.0,Day 2,253.60049041338945,263.46489027338134,-12.225995716647965,100
red,New York strip steak,shear_only,shear_only,unloading,test,0.0,Day 0,244.41237080082152,319.0013882545071,-1.6262220041104998,80
red,New York strip steak,shear_only,shear_only,unloading,test,1.0,Day 1,242.54128307253896,324.2320875582913,-1.252754071088579,80
red,New York strip steak,shear_only,shear_only,unloading,test,2.0,Day 2,297.33243599596324,400.85510113142465,-0.5875509221977084,80
