file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,modified_z,is_outlier
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,23,0.043088800000000003,225.369,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,23,0.0460923,225.191,-0.003717404093259379,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,23,0.0438112,296.587,1.4873375545716319,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,24,0.0486549,300.393,1.5668231724308757,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,24,0.0447395,193.072,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,24,0.043088800000000003,225.369,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,24,0.0460923,225.191,-0.003717404093259379,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,24,0.0438112,296.587,1.4873375545716319,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,25,0.0486554,300.393,1.5668231724308757,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,25,0.0447395,193.072,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,25,0.0430887,225.369,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,25,0.0460923,225.191,-0.003717404093259379,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,25,0.0438112,296.587,1.4873375545716319,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,26,0.0486554,300.393,0.8132619730985328,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,26,0.0528172,209.709,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,26,0.0510898,250.822,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,26,0.0460923,225.191,-0.42050226205822977,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,26,0.0519299,316.993,1.0856016223578915,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,27,0.0486554,300.393,0.8132619730985328,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,27,0.0528172,209.709,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,27,0.0510899,250.822,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,27,0.0545231,243.64,-0.11782791331209133,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,27,0.0519299,316.993,1.0856016223578915,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,28,0.0486554,300.393,0.8132619730985328,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,28,0.0528172,209.709,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,28,0.0510899,250.822,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,28,0.0545231,243.64,-0.11782791331209133,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,28,0.0519299,316.993,1.0856016223578915,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,29,0.0577335,329.835,1.2962875124656432,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,29,0.0528172,209.709,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,29,0.0510899,250.822,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,29,0.0545231,243.64,-0.11782791331209133,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,29,0.0519299,316.993,1.0856016223578915,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,30,0.0577335,329.835,0.6745,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,30,0.0528172,209.709,-0.7603324242960869,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,30,0.059111500000000004,273.365,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,30,0.0545231,243.64,-0.35504714892863515,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,30,0.0599791,333.678,0.7204023109615727,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,31,0.0577335,329.835,0.8109567152103553,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,31,0.060951899999999996,226.397,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,31,0.059111500000000004,273.365,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,31,0.0545231,243.64,-0.42687601132686104,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,31,0.0599791,333.678,0.8661454288025885,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,32,0.0577335,329.835,0.8109567152103553,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,32,0.060951899999999996,226.397,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,32,0.059111500000000004,273.365,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,32,0.0629742,260.065,-0.19099919093851142,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,32,0.0599791,333.678,0.8661454288025885,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,33,0.057733,329.835,0.8109567152103553,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,33,0.060951899999999996,226.397,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,33,0.0591116,273.365,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,33,0.0629742,260.065,-0.19099919093851142,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,33,0.0599791,333.678,0.8661454288025885,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,34,0.06691169999999999,356.175,0.7708378331602636,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,34,0.060951899999999996,226.397,-0.8238727933541026,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,34,0.0671045,293.444,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,34,0.0629742,260.065,-0.4101607822776052,False
