file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,tension,2,1.0765361,92.8136
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,tension,3,1.101993,-79.0917
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,0,0.00309664,-23.2756
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,1,0.0030966500000000003,-23.2756
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,2,0.00442329,8.79832
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,3,0.00442329,8.79832
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,4,0.00442326,8.79832
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,5,0.00442326,8.79832
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,6,0.012438,48.0047
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,7,0.012438,48.0047
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,8,0.012438,48.0047
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,9,0.012438,48.0047
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,10,0.0204463,107.554
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,11,0.0204462,107.554
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,12,0.0204462,107.554
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,13,0.0204462,107.554
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,14,0.028547,142.476
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,15,0.028547,142.476
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,16,0.028547,142.476
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,17,0.028547,142.476
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,18,0.0366162,169.705
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,19,0.0366162,169.705
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,20,0.0366162,169.705
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,21,0.0366159,169.705
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,22,0.0447395,193.072
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,23,0.0447395,193.072
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,24,0.0447395,193.072
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,25,0.0447395,193.072
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,26,0.0528172,209.709
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,27,0.0528172,209.709
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,28,0.0528172,209.709
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,29,0.0528172,209.709
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,30,0.0528172,209.709
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,31,0.060951899999999996,226.397
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,32,0.060951899999999996,226.397
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,33,0.060951899999999996,226.397
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,34,0.060951899999999996,226.397
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,35,0.0690926,239.264
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,36,0.0690926,239.264
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,37,0.0690926,239.264
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,38,0.0690926,239.264
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,39,0.0770613,249.901
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,40,0.0770613,249.901
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,41,0.0770613,249.901
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,42,0.0770613,249.901
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,43,0.0851571,255.621
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,44,0.0851571,255.621
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,45,0.0851571,255.621
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,46,0.0851571,255.621
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,47,0.09328189999999999,261.502
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,48,0.09328189999999999,261.502
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,49,0.09328189999999999,261.502
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,50,0.09328189999999999,261.502
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,51,0.10133900000000001,263.711
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,52,0.10133900000000001,263.711
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,53,0.10133900000000001,263.711
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,54,0.10133900000000001,263.711
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,55,0.109467,266.118
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,56,0.109467,266.118
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,57,0.109467,266.118
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,58,0.109467,266.118
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,59,0.117508,266.676
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,60,0.117508,266.676
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,61,0.117508,266.676
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,62,0.117508,266.676
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,63,0.125593,268.782
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,64,0.125593,268.782
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,65,0.125593,268.782
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,66,0.125593,268.782
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,67,0.133682,270.764
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,68,0.133682,270.764
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,69,0.133681,270.764
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,70,0.133681,270.764
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,71,0.141763,271.723
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,72,0.141763,271.723
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,73,0.141763,271.723
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,74,0.141763,271.723
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,75,0.149918,272.736
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,76,0.149918,272.736
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,77,0.149918,272.736
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,78,0.149918,272.736
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,79,0.15789899999999998,273.557
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,80,0.15789899999999998,273.557
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,81,0.15789899999999998,273.557
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,82,0.15789899999999998,273.557
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,83,0.166009,269.965
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,84,0.166009,269.965
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,85,0.166009,269.965
