color,cut_name,freshness_index,time_hours,time_days,mode,loading,file_name,sample_num,global_distance,global_z,local_outlier_fraction,feature_score,feature_z,curve_score,curve_weight,is_curve_outlier
green,sirloin steak,3,48,2.0,shear,shear,green3-5.xls,5,6.038498505414586,3.7031996360794595,0.97,3.512070742829632,1.5876602638320805,6.26085989991154,0.18672831920992006,True
green,sirloin steak,3,48,2.0,uniaxial,compression,green3-1.xls,1,0.26428003652731924,0.6744907594765952,0.0,0.26979630379063807,0.4860084113161627,1.1604991707927579,0.8698376551327033,False
green,sirloin steak,3,48,2.0,uniaxial,compression,green3-2.xls,2,1.0009967311466959,0.0,0.0,0.5772087868910744,0.0,0.0,1.0,False
green,sirloin steak,3,48,2.0,uniaxial,compression,green3-3.xls,3,0.4344455611870272,0.5186980717273946,0.0,0.15057650158250993,0.6744907594765952,1.1931888312039898,0.8634170550446578,False
green,sirloin steak,3,48,2.0,uniaxial,compression,green3-4.xls,4,2.869553654624647,1.7107313946415155,0.3375,1.4271034190221303,1.3436537637711916,3.3918851584127068,0.4389198004116337,False
green,sirloin steak,3,48,2.0,uniaxial,compression,green3-5.xls,5,4.140949548525821,2.8747402848104513,0.6125,1.704524845769687,1.7822473612686376,5.269487646079089,0.2447813962664656,True
green,sirloin steak,3,48,2.0,uniaxial,unloading,green3-1.xls,1,0.6423649542437356,0.5657312722051592,0.0,0.252085385363244,0.6744907594765952,1.2402220316817543,0.8540397899567437,False
green,sirloin steak,3,48,2.0,uniaxial,unloading,green3-2.xls,2,3.0281476142035113,2.9267243049562874,0.2375,1.706392843054314,1.7315113766286148,4.895735681584902,0.2729901054173144,True
green,sirloin steak,3,48,2.0,uniaxial,unloading,green3-3.xls,3,0.568068662392487,0.6744907594765952,0.0,0.42552084425906384,0.38755962784213754,1.0620503873187328,0.8886298894616578,False
green,sirloin steak,3,48,2.0,uniaxial,unloading,green3-4.xls,4,1.0288299584803977,0.0,0.0,0.6597811753754739,0.0,0.0,1.0,False
green,sirloin steak,3,48,2.0,uniaxial,unloading,green3-5.xls,5,1.9803987353977488,1.3929649744598824,0.0875,1.0923172247115827,0.7155864140980375,2.19605138855792,0.6511056420732535,False
red,new york strip steak,1,0,0.0,shear,shear,red1-1.xls,1,0.4968245910613923,0.6157164768880162,0.0,0.515002459991916,0.0409835793156003,0.6567000562036165,0.9542738516271373,False
red,new york strip steak,1,0,0.0,shear,shear,red1-2.xls,2,0.9932566379841745,0.0,0.0,0.5395926075812761,0.0,0.0,1.0,False
red,new york strip steak,1,0,0.0,shear,shear,red1-3.xls,3,0.35469671584956036,0.7919953354658562,0.01,0.13489815189531904,0.6744907594765952,1.4764860949424514,0.8050081389194471,False
red,new york strip steak,1,0,0.0,shear,shear,red1-4.xls,4,1.5370764656584746,0.6744907594765952,0.0,0.998811086210907,0.7653641310493847,1.43985489052598,0.8127744955362927,False
red,new york strip steak,1,0,0.0,shear,shear,red1-5.xls,5,1.913779688467879,1.1417095512896982,0.0,1.5592933220599525,1.6995011907977942,2.841210742087492,0.5271642316047261,False
red,new york strip steak,1,0,0.0,uniaxial,compression,red1-1.xls,1,2.850546968040526,2.4956984167266008,0.175,2.2743767802570933,24.558660529529288,27.22935894625589,0.1,False
red,new york strip steak,1,0,0.0,uniaxial,compression,red1-2.xls,2,1.535792208834777,0.6744907594765952,0.0,0.5103050497678284,0.26625303389088784,0.940743793367483,0.910470512432336,False
red,new york strip steak,1,0,0.0,uniaxial,compression,red1-3.xls,3,0.0,1.4528995474156787,0.0,0.13489815189531904,5.549169612465618,7.002069159881296,0.15509493980675265,False
red,new york strip steak,1,0,0.0,uniaxial,compression,red1-4.xls,4,0.6279435632149531,0.5830676509038223,0.0125,0.5771548104839408,0.6744907594765952,1.2700584103804176,0.8480127188547131,False
red,new york strip steak,1,0,0.0,uniaxial,compression,red1-5.xls,5,1.0488680887148385,0.0,0.0,0.5292251337811725,0.0,0.0,1.0,False
red,new york strip steak,1,0,0.0,uniaxial,unloading,red1-1.xls,1,1.8070763170735078,0.0,0.1125,1.3867255561878555,2.4043222235106834,2.516822223510683,0.5869159184586163,False
red,new york strip steak,1,0,0.0,uniaxial,unloading,red1-2.xls,2,1.2348901760246709,0.6744907594765952,0.0,0.5436249663508674,0.0,0.6744907594765952,0.9518835771336986,False
red,new york strip steak,1,0,0.0,uniaxial,unloading,red1-3.xls,3,4.0271022759779544,2.6169578178430792,0.3875,0.9862336907973794,1.262214740843938,4.266672558687017,0.3308276846021878,True
red,new york strip steak,1,0,0.0,uniaxial,unloading,red1-4.xls,4,1.9390348256047192,0.15555216782333572,0.1375,0.30710776761866987,0.6744907594765952,0.967542927299931,0.9057844011260159,False
red,new york strip steak,1,0,0.0,uniaxial,unloading,red1-5.xls,5,0.629413035868947,1.3882248169998348,0.0,0.3190482132810163,0.6404394502844714,2.0286642672843063,0.6862120856922806,False
red,new york strip steak,2,24,1.0,shear,shear,red2-1.xls,1,0.3906065832586699,0.9166064538996788,0.0,0.4046944556859572,0.5914073777575731,1.508013831657252,0.7982894808989153,False
red,new york strip steak,2,24,1.0,shear,shear,red2-2.xls,2,1.3245218639312193,0.0,0.03,0.6019992534292495,0.0,0.03,0.9999000099990001,False
red,new york strip steak,2,24,1.0,shear,shear,red2-3.xls,3,1.5890905338195027,0.2596652558726917,0.0,0.9367591996934113,1.0034196038959957,1.2630848597686875,0.849426556045949,False
red,new york strip steak,2,24,1.0,shear,shear,red2-4.xls,4,0.6372942928535134,0.6744907594765953,0.0,0.3769762525616464,0.6744907594765952,1.3489815189531904,0.831812107765968,False
red,new york strip steak,2,24,1.0,shear,shear,red2-5.xls,5,5.341022146369174,3.942060010326934,0.44,2.458489137118379,5.564699016465635,9.946759026792568,0.1,True
red,new york strip steak,2,24,1.0,uniaxial,compression,red2-1.xls,1,0.14920696962808527,0.7496626423315039,0.0,2.0638086539278997,1.447733085869586,2.19739572820109,0.6508275495667126,False
red,new york strip steak,2,24,1.0,uniaxial,compression,red2-2.xls,2,1.8855457587177191,0.6744907594765952,0.075,0.3987751719213194,0.6744907594765952,1.4239815189531904,0.8161249335911794,False
red,new york strip steak,2,24,1.0,uniaxial,compression,red2-3.xls,3,4.397760229548531,2.735021116332282,0.675,1.13350327496385,0.26198139977615337,3.672002516108436,0.400291724099092,True
red,new york strip steak,2,24,1.0,uniaxial,compression,red2-4.xls,4,1.0632014332575133,0.0,0.0,0.9279604886801103,0.0,0.0,1.0,False
red,new york strip steak,2,24,1.0,uniaxial,compression,red2-5.xls,5,0.648789681349497,0.3399025063181887,0.0,0.3545155051782044,0.7309033909127616,1.0708058972309502,0.886994420402396,False
red,new york strip steak,2,24,1.0,uniaxial,unloading,red2-1.xls,1,2.2292704252482056,0.0,0.1,0.45773136139353704,0.6258323310447849,0.7258323310447848,0.9447001331487005,False
red,new york strip steak,2,24,1.0,uniaxial,unloading,red2-2.xls,2,1.2118628174843207,0.6744907594765952,0.0375,0.10918154825853596,1.2244988173531977,1.936489576829793,0.7058828024268368,False
red,new york strip steak,2,24,1.0,uniaxial,unloading,red2-3.xls,3,4.405004561649862,1.4424037709980249,0.1875,0.8220974099836141,0.0,1.6299037709980249,0.7720956861877183,False
red,new york strip steak,2,24,1.0,uniaxial,unloading,red2-4.xls,4,1.7238738987566282,0.3350528189378826,0.0625,1.2147928982955152,0.6744907594765952,1.0720435784144777,0.8867626349273481,False
red,new york strip steak,2,24,1.0,uniaxial,unloading,red2-5.xls,5,3.522665834711048,0.8574569772969429,0.225,1.3895373655243781,0.9746305164220962,2.057087493719039,0.6801893881064495,False
red,new york strip steak,3,48,2.0,shear,shear,red3-1.xls,1,1.5292334941390147,0.0,0.02,0.6444950125007164,0.6744907594765952,0.6944907594765952,0.9491350696365125,False
red,new york strip steak,3,48,2.0,shear,shear,red3-2.xls,2,1.681660566952088,0.16531255891704072,0.0,0.8371026252037794,0.0057192584283532535,0.17103181734539397,0.9967603204645317,False
red,new york strip steak,3,48,2.0,shear,shear,red3-3.xls,3,7.458828934246597,6.430856261007509,0.81,4.42867383558581,12.689655698091245,19.930511959098755,0.1,True
