color,cut_name,freshness_index,time_hours,time_days,mode,loading,point_index,deformation,file_name,sample_num,interpolated_stress_pa,modified_z,is_outlier
green,sirloin steak,1,0,0.0,shear,shear,15,0.06012041151020408,green1-2.xls,2,224.69123581475478,-0.6744999999999999,False
green,sirloin steak,1,0,0.0,shear,shear,15,0.06012041151020408,green1-3.xls,3,275.8993033409721,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,15,0.06012041151020408,green1-4.xls,4,254.51856510455468,-0.28162179588363057,False
green,sirloin steak,1,0,0.0,shear,shear,15,0.06012041151020408,green1-5.xls,5,333.9348869987797,0.7644303538138771,False
green,sirloin steak,1,0,0.0,shear,shear,16,0.06418557587755103,green1-1.xls,1,348.35144969761984,0.7688270341311894,False
green,sirloin steak,1,0,0.0,shear,shear,16,0.06418557587755103,green1-2.xls,2,231.50807245279265,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,16,0.06418557587755103,green1-3.xls,3,286.11167654801847,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,16,0.06418557587755103,green1-4.xls,4,262.15165400327504,-0.2959701190830818,False
green,sirloin steak,1,0,0.0,shear,shear,16,0.06418557587755103,green1-5.xls,5,341.3248573725012,0.6820298968025397,False
green,sirloin steak,1,0,0.0,shear,shear,17,0.06825074024489797,green1-1.xls,1,359.7463847320942,0.816715369373337,False
green,sirloin steak,1,0,0.0,shear,shear,17,0.06825074024489797,green1-2.xls,2,237.9333761631189,-0.7455231406507842,False
green,sirloin steak,1,0,0.0,shear,shear,17,0.06825074024489797,green1-3.xls,3,296.06433128792963,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,17,0.06825074024489797,green1-4.xls,4,269.15409780151566,-0.345120800808493,False
green,sirloin steak,1,0,0.0,shear,shear,17,0.06825074024489797,green1-5.xls,5,348.65737246094824,0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,18,0.07231590461224491,green1-1.xls,1,370.58867719515786,0.8875659137574096,False
green,sirloin steak,1,0,0.0,shear,shear,18,0.07231590461224491,green1-2.xls,2,243.56662039736082,-0.8407526889451582,False
green,sirloin steak,1,0,0.0,shear,shear,18,0.07231590461224491,green1-3.xls,3,305.3573895536372,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,18,0.07231590461224491,green1-4.xls,4,275.8417626602342,-0.40160274771413745,False
green,sirloin steak,1,0,0.0,shear,shear,18,0.07231590461224491,green1-5.xls,5,354.92948649001346,0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,19,0.07638106897959185,green1-1.xls,1,381.34090400996854,0.9667715162863074,False
green,sirloin steak,1,0,0.0,shear,shear,19,0.07638106897959185,green1-2.xls,2,248.99299526094828,-0.9431482860100362,False
green,sirloin steak,1,0,0.0,shear,shear,19,0.07638106897959185,green1-3.xls,3,314.3484636652093,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,19,0.07638106897959185,green1-4.xls,4,281.54878010322824,-0.47333400078786836,False
green,sirloin steak,1,0,0.0,shear,shear,19,0.07638106897959185,green1-5.xls,5,361.08794683297594,0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,20,0.08044623334693879,green1-1.xls,1,391.28398341321815,1.0833098383112916,False
green,sirloin steak,1,0,0.0,shear,shear,20,0.08044623334693879,green1-2.xls,2,252.2925880758529,-1.1100231284269986,False
green,sirloin steak,1,0,0.0,shear,shear,20,0.08044623334693879,green1-3.xls,3,322.6346956429732,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,20,0.08044623334693879,green1-4.xls,4,287.141622936995,-0.5600931357506342,False
green,sirloin steak,1,0,0.0,shear,shear,20,0.08044623334693879,green1-5.xls,5,365.37772535016273,0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,21,0.08451139771428572,green1-1.xls,1,401.22706281646776,1.2193144583938522,False
green,sirloin steak,1,0,0.0,shear,shear,21,0.08451139771428572,green1-2.xls,2,255.16478602802866,-1.3058923699716027,False
green,sirloin steak,1,0,0.0,shear,shear,21,0.08451139771428572,green1-3.xls,3,330.69983157602775,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,21,0.08451139771428572,green1-4.xls,4,292.22077564010914,-0.6652475706590438,False
green,sirloin steak,1,0,0.0,shear,shear,21,0.08451139771428572,green1-5.xls,5,369.71406383104375,0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,22,0.08857656208163266,green1-1.xls,1,410.77181317137206,1.1891882656966148,False
green,sirloin steak,1,0,0.0,shear,shear,22,0.08857656208163266,green1-2.xls,2,258.0961201878301,-1.3166768295194402,False
green,sirloin steak,1,0,0.0,shear,shear,22,0.08857656208163266,green1-3.xls,3,338.31773617427297,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,22,0.08857656208163266,green1-4.xls,4,297.22224579292816,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,22,0.08857656208163266,green1-5.xls,5,374.7089335178454,0.5972884708386923,False
green,sirloin steak,1,0,0.0,shear,shear,23,0.0926417264489796,green1-1.xls,1,420.2594472453884,1.1379288601226099,False
green,sirloin steak,1,0,0.0,shear,shear,23,0.0926417264489796,green1-2.xls,2,261.0386211286984,-1.2950506989945019,False
green,sirloin steak,1,0,0.0,shear,shear,23,0.0926417264489796,green1-3.xls,3,345.79027528222844,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,23,0.0926417264489796,green1-4.xls,4,301.6491534165441,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,23,0.0926417264489796,green1-5.xls,5,379.70534335261334,0.518240417248171,False
green,sirloin steak,1,0,0.0,shear,shear,24,0.09670689081632654,green1-1.xls,1,429.26458089523186,1.0964079682726342,False
green,sirloin steak,1,0,0.0,shear,shear,24,0.09670689081632654,green1-2.xls,2,262.441023310281,-1.301500836147297,False
green,sirloin steak,1,0,0.0,shear,shear,24,0.09670689081632654,green1-3.xls,3,352.98700207547563,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,24,0.09670689081632654,green1-4.xls,4,306.0617439573842,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,24,0.09670689081632654,green1-5.xls,5,384.7340164550924,0.4563291084124234,False
green,sirloin steak,1,0,0.0,shear,shear,25,0.10077205518367348,green1-1.xls,1,437.9960659808893,1.0543637411918938,False
green,sirloin steak,1,0,0.0,shear,shear,25,0.10077205518367348,green1-2.xls,2,263.5555618027249,-1.3061323104594593,False
green,sirloin steak,1,0,0.0,shear,shear,25,0.10077205518367348,green1-3.xls,3,360.07865431141397,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,25,0.10077205518367348,green1-4.xls,4,310.2331483272547,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,25,0.10077205518367348,green1-5.xls,5,389.7254513459167,0.401174874343276,False
green,sirloin steak,1,0,0.0,shear,shear,26,0.10483721955102042,green1-1.xls,1,446.41886649644806,1.0185891305236559,False
green,sirloin steak,1,0,0.0,shear,shear,26,0.10483721955102042,green1-2.xls,2,264.74695158209965,-1.311360824224959,False
green,sirloin steak,1,0,0.0,shear,shear,26,0.10483721955102042,green1-3.xls,3,366.99697270167803,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,26,0.10483721955102042,green1-4.xls,4,314.4045526971252,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,26,0.10483721955102042,green1-5.xls,5,394.38272779106615,0.3512234615975691,False
green,sirloin steak,1,0,0.0,shear,shear,27,0.10890238391836736,green1-1.xls,1,454.38389755684494,0.9777907165797981,False
green,sirloin steak,1,0,0.0,shear,shear,27,0.10890238391836736,green1-2.xls,2,265.9507963941327,-1.3064463616621584,False
green,sirloin steak,1,0,0.0,shear,shear,27,0.10890238391836736,green1-3.xls,3,373.72320836295137,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,27,0.10890238391836736,green1-4.xls,4,318.0818180953223,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,27,0.10890238391836736,green1-5.xls,5,398.9247368489132,0.3054997526485346,False
green,sirloin steak,1,0,0.0,shear,shear,28,0.11296754828571429,green1-1.xls,1,462.31613309564864,0.9485953500032641,False
green,sirloin steak,1,0,0.0,shear,shear,28,0.11296754828571429,green1-2.xls,2,266.3609182867092,-1.3140885716891404,False
green,sirloin steak,1,0,0.0,shear,shear,28,0.11296754828571429,green1-3.xls,3,380.16493036043954,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,28,0.11296754828571429,green1-4.xls,4,321.75120711721695,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,28,0.11296754828571429,green1-5.xls,5,402.5575328592204,0.25856613047140564,False
green,sirloin steak,1,0,0.0,shear,shear,29,0.11703271265306123,green1-1.xls,1,470.074001478825,0.9218989087582365,False
green,sirloin steak,1,0,0.0,shear,shear,29,0.11703271265306123,green1-2.xls,2,266.64301774162516,-1.3183447540325501,False
green,sirloin steak,1,0,0.0,shear,shear,29,0.11703271265306123,green1-3.xls,3,386.35864273016665,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,29,0.11703271265306123,green1-4.xls,4,325.1089667195641,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,29,0.11703271265306123,green1-5.xls,5,406.2173448693553,0.21869004810023937,False
green,sirloin steak,1,0,0.0,shear,shear,30,0.12109787702040817,green1-1.xls,1,477.8318698620013,0.9050792772429778,False
green,sirloin steak,1,0,0.0,shear,shear,30,0.12109787702040817,green1-2.xls,2,267.6110996914013,-1.3176619200006474,False
green,sirloin steak,1,0,0.0,shear,shear,30,0.12109787702040817,green1-3.xls,3,392.2319525331579,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,30,0.12109787702040817,green1-4.xls,4,328.4395912560531,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,30,0.12109787702040817,green1-5.xls,5,410.0819786385615,0.18873486365860356,False
green,sirloin steak,1,0,0.0,shear,shear,31,0.1251630413877551,green1-1.xls,1,485.15085466641153,0.8886930998157517,False
green,sirloin steak,1,0,0.0,shear,shear,31,0.1251630413877551,green1-2.xls,2,268.6700033596304,-1.3160275541723483,False
