file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,stress_std_pa,n_used,n_total,used_samples,used_files,dropped_samples
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,47,0.19020567126530613,425.4236770090216,109.97904564578809,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,48,0.19427083563265307,387.84238127872254,87.25997531239271,4,4,"2,3,4,5","green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",1
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,1,0.8213001018884398,-2132.423238415987,425.1151476138475,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,2,0.8254520740867027,-2087.50985391596,411.6881538719844,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,3,0.8296040462849656,-2042.5964694159331,398.8076264965395,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,4,0.8337560184832286,-1997.6830849159057,386.5282000974646,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,5,0.8379079906814915,-1952.5690492565925,374.07942046143216,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,6,0.8420599628797544,-1914.9290016475038,360.20655524893704,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,7,0.8462119350780173,-1878.4000877539438,347.6889504814423,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,8,0.8503639072762802,-1841.871173860383,335.27459263007853,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,9,0.8545158794745431,-1805.3422599668224,322.9753875660498,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,10,0.858667851672806,-1769.6342491790608,312.8151204202616,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,11,0.8628198238710689,-1733.5675612854254,304.6207777063523,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,12,0.8669717960693318,-1697.50087339179,297.04850756780013,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,13,0.8711237682675947,-1661.4341854981546,290.1470187285166,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,14,0.8752757404658577,-1625.3674976045193,283.96522339326924,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,15,0.8794277126641206,-1591.1034359539085,276.79728062072604,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,16,0.8835796848623835,-1563.1748746218066,269.72376224500476,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,17,0.8877316570606464,-1535.2463132897049,262.83894753748376,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,18,0.8918836292589093,-1507.317751957603,256.1580524365099,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,19,0.8960356014571722,-1479.3891906255017,249.69744567368076,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,20,0.900187573655435,-1451.982443069927,245.9111164497063,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
